hc_date,day,PCA_1,PCA_2
2021-02-27 16:00:00+01:00,27/02/2021,-1.7822566171970704,-2.3919524525564437
2021-02-27 17:00:00+01:00,27/02/2021,-1.8612529033961849,-2.3717072953466407
2021-02-27 18:00:00+01:00,27/02/2021,-1.8525338684767898,-2.3725191771627623
2021-02-27 19:00:00+01:00,27/02/2021,-1.9218934964895078,-2.3414780182504913
2021-02-27 20:00:00+01:00,27/02/2021,-1.8671546276825508,-2.20107679531672
2021-02-27 21:00:00+01:00,27/02/2021,-1.9331656355496023,-2.2277618418945795
2021-02-27 22:00:00+01:00,27/02/2021,-1.93311861804129,-2.2712504972018017
2021-02-27 23:00:00+01:00,27/02/2021,-2.051891930837387,-2.8216819906084254
2021-02-28 00:00:00+01:00,28/02/2021,-2.0446171395170696,-2.879245787860235
2021-02-28 01:00:00+01:00,28/02/2021,-2.0981625603420304,-2.918848498687941
2021-02-28 02:00:00+01:00,28/02/2021,-2.053377034502899,-2.81964120065639
2021-02-28 03:00:00+01:00,28/02/2021,-2.1023245236028085,-2.844454147016726
2021-02-28 04:00:00+01:00,28/02/2021,-1.5314074615904048,-2.6405600887447305
2021-02-28 05:00:00+01:00,28/02/2021,-1.6289993403902217,-3.443360608307423
2021-02-28 06:00:00+01:00,28/02/2021,-0.7843124774640521,-3.408763279413505
2021-02-28 07:00:00+01:00,28/02/2021,-0.9770102194300437,-2.8631099714169337
2021-02-28 08:00:00+01:00,28/02/2021,-1.2107510026127983,-2.7315236695559086
2021-02-28 09:00:00+01:00,28/02/2021,-0.9668862123063912,-2.7570388520603504
2021-02-28 10:00:00+01:00,28/02/2021,-0.9909498499662038,-2.7120390470185027
2021-02-28 11:00:00+01:00,28/02/2021,-1.1564172657040404,-3.117648501677009
2021-02-28 12:00:00+01:00,28/02/2021,-0.9249456437859308,-2.5105669932930272
2021-02-28 13:00:00+01:00,28/02/2021,-1.147997093940456,-2.4214939455964157
2021-02-28 14:00:00+01:00,28/02/2021,-1.7155203590088892,-2.5039703838236864
2021-02-28 15:00:00+01:00,28/02/2021,-1.711991835687627,-2.557889760157833
2021-02-28 16:00:00+01:00,28/02/2021,-1.659370653285099,-3.113446947659206
2021-02-28 17:00:00+01:00,28/02/2021,-1.7599740171554221,-3.4154973764344696
2021-02-28 18:00:00+01:00,28/02/2021,-1.7800140874344426,-3.172720689958835
2021-02-28 19:00:00+01:00,28/02/2021,-1.9297689253853239,-3.4455264402281354
2021-02-28 20:00:00+01:00,28/02/2021,-1.455644281648208,-2.8047446154042768
2021-02-28 21:00:00+01:00,28/02/2021,-1.5345862363779956,-2.9422714455058214
2021-02-28 22:00:00+01:00,28/02/2021,-1.5152567498798517,-3.1016491116096843
2021-02-28 23:00:00+01:00,28/02/2021,-1.6484535981644841,-3.4841548715669552
2021-03-01 00:00:00+01:00,01/03/2021,-1.6002023998814323,-3.532191193744182
2021-03-01 01:00:00+01:00,01/03/2021,-1.6339596332837127,-3.295129741596189
2021-03-01 02:00:00+01:00,01/03/2021,-0.8170580386949997,-3.479615283533048
2021-03-01 03:00:00+01:00,01/03/2021,-0.1472107284908747,-4.391923189675727
2021-03-01 04:00:00+01:00,01/03/2021,2.7147158140700824,-6.7423799364404395
2021-03-01 05:00:00+01:00,01/03/2021,4.361144456687547,-5.910167902861607
2021-03-01 06:00:00+01:00,01/03/2021,4.848283206864697,-5.679966234220166
2021-03-01 07:00:00+01:00,01/03/2021,2.677814148041901,-5.197725963573342
2021-03-01 08:00:00+01:00,01/03/2021,5.409644219757436,-5.514078470091543
2021-03-01 09:00:00+01:00,01/03/2021,5.324969830753621,-5.455078939557425
2021-03-01 10:00:00+01:00,01/03/2021,4.471252416728346,-5.323268137414378
2021-03-01 11:00:00+01:00,01/03/2021,1.9849123838784055,-2.645463789116206
2021-03-01 12:00:00+01:00,01/03/2021,2.178997803992675,-2.425810032835723
2021-03-01 13:00:00+01:00,01/03/2021,4.098827340882969,-2.728351287620278
